"design","series","subsample","event_month","mean_car","boot_se","lo","hi","n"
"Gsynth","Random placebo","Stock merger",36,-0.00985335866614899,0.0352079393057409,-0.0757492328131126,0.0608003344137941,5545
"Gsynth","Runup placebo","Stock merger",0,-0.0155419469674635,0.00422161770799112,-0.0239029147443619,-0.00735007599902496,3661
"Gsynth","Runup placebo","Stock merger",1,-0.0287885667561883,0.00647085057506068,-0.0413990807459232,-0.0162060129309174,3661
"Gsynth","Runup placebo","Stock merger",2,-0.0387843168615589,0.00820310542974714,-0.0552801241430677,-0.0225651510041099,3661
"Gsynth","Runup placebo","Stock merger",3,-0.0542162738043406,0.0106078294853296,-0.0749014859305574,-0.0331067514621244,3661
"Gsynth","Runup placebo","Stock merger",4,-0.067344672102512,0.014452641876417,-0.0941031692134891,-0.0362410100554655,3661
"Gsynth","Runup placebo","Stock merger",5,-0.0863833007173486,0.0171544725686812,-0.117011914763946,-0.0506202751449863,3661
"Gsynth","Runup placebo","Stock merger",6,-0.0998620027308065,0.0203382639402372,-0.136582355281995,-0.0586719900716167,3661
"Gsynth","Runup placebo","Stock merger",7,-0.106484743198458,0.0238324294281485,-0.154675461118154,-0.059701312678168,3661
"Gsynth","Runup placebo","Stock merger",8,-0.125125864101295,0.0255396592004945,-0.175138645476648,-0.0731482870377766,3661
"Gsynth","Runup placebo","Stock merger",9,-0.119903205278584,0.0291099156786362,-0.177942498939687,-0.0632107462449374,3661
"Gsynth","Runup placebo","Stock merger",10,-0.12910388303015,0.0308595505280286,-0.18973610189,-0.0661970637636733,3661
"Gsynth","Runup placebo","Stock merger",11,-0.138646703734458,0.0353374155407862,-0.209152060143052,-0.0667525322397998,3661
"Gsynth","Runup placebo","Stock merger",12,-0.147613145757161,0.0372090141079299,-0.222559638821586,-0.0746630835622576,3661
"Gsynth","Runup placebo","Stock merger",13,-0.157578956447741,0.0381170335020359,-0.233382084845007,-0.0791480746208302,3661
"Gsynth","Runup placebo","Stock merger",14,-0.162510467888914,0.0409806632505986,-0.243247128858109,-0.0772830619035209,3661
"Gsynth","Runup placebo","Stock merger",15,-0.1787224661404,0.0423679245401883,-0.259932560906548,-0.0918216947691974,3661
"Gsynth","Runup placebo","Stock merger",16,-0.183063220397951,0.0428556025475815,-0.266087940741922,-0.0934641959768714,3661
"Gsynth","Runup placebo","Stock merger",17,-0.199494754250249,0.0442213709010808,-0.286118925936065,-0.108046536467919,3661
"Gsynth","Runup placebo","Stock merger",18,-0.206777561173868,0.0441121951352836,-0.295871646493761,-0.116555261311292,3661
"Gsynth","Runup placebo","Stock merger",19,-0.212898238986288,0.0457828852902825,-0.30199745196989,-0.117811819898746,3661
"Gsynth","Runup placebo","Stock merger",20,-0.222584040319096,0.0480752063126804,-0.315656090893319,-0.123111645518699,3661
"Gsynth","Runup placebo","Stock merger",21,-0.230660303066048,0.0498589570447782,-0.326430304473567,-0.127596420227241,3661
"Gsynth","Runup placebo","Stock merger",22,-0.243437694659597,0.0514631992014364,-0.340829717868856,-0.133796284027726,3661
"Gsynth","Runup placebo","Stock merger",23,-0.253408485810416,0.0526239348031734,-0.353564738249323,-0.14305371946987,3661
"Gsynth","Runup placebo","Stock merger",24,-0.258529351029704,0.0559398361623492,-0.365350875077567,-0.141687624957255,3661
"Gsynth","Runup placebo","Stock merger",25,-0.263966151272588,0.0572492652729821,-0.373172209293049,-0.14151358766686,3661
"Gsynth","Runup placebo","Stock merger",26,-0.27610150438843,0.0594796550457022,-0.391803463257413,-0.151206247993728,3661
"Gsynth","Runup placebo","Stock merger",27,-0.294249914877527,0.0622911742201492,-0.413968334050803,-0.161109112722226,3661
"Gsynth","Runup placebo","Stock merger",28,-0.30499692487921,0.0630538622030713,-0.425305067313321,-0.170656259910496,3661
"Gsynth","Runup placebo","Stock merger",29,-0.316339820496994,0.0613024924314972,-0.436200716141275,-0.188250603259079,3661
"Gsynth","Runup placebo","Stock merger",30,-0.326736402390869,0.0619638452917382,-0.446678890411671,-0.197269909052412,3661
"Gsynth","Runup placebo","Stock merger",31,-0.3378603943573,0.0631688309643549,-0.458684215488756,-0.206632930743058,3661
