"method","subsample","event_date","mean_car","se","boot_se","lo","hi","n","metric"
"SC","Cash merger",87,-0.1119305483852,0.00284504354323375,0.0210071362160203,-0.157590311709407,-0.070648847212014,9261,"log"
"SC","Cash merger",88,-0.113600266831999,0.00285388326993086,0.0211792625451672,-0.159714913302637,-0.071834524448062,9261,"log"
"SC","Cash merger",89,-0.114670288436486,0.00287292419082552,0.0214681794108836,-0.161353709337229,-0.0726138576459442,9261,"log"
"SC","Cash merger",90,-0.115609943971396,0.00288929250499666,0.021697073987707,-0.162764232436389,-0.0731839286090755,9261,"log"
"SC","Cash merger",91,-0.116758489435888,0.00290630398651597,0.0219500307043042,-0.164658020069845,-0.0738282113223219,9261,"log"
"SC","Cash merger",92,-0.117979114943852,0.00291743150419473,0.0220249988479208,-0.165922570220654,-0.075224844599474,9261,"log"
"SC","Cash merger",93,-0.118997727690119,0.00294005026269298,0.0221935364131781,-0.167310948460081,-0.075759663508407,9261,"log"
"SC","Cash merger",94,-0.120458628393426,0.00295700612625187,0.0224580089085755,-0.169597929175218,-0.0767919441346046,9261,"log"
"SC","Cash merger",95,-0.122235608179138,0.00297671000747573,0.0227541705930873,-0.172450169423961,-0.0781340382371634,9261,"log"
"SC","Cash merger",96,-0.123315189747798,0.00299486120424178,0.0228355824594403,-0.173698328834952,-0.0790747971017776,9261,"log"
"SC","Cash merger",97,-0.124917289134539,0.00301843196335042,0.0230996206128062,-0.175856069044502,-0.0801235446458965,9261,"log"
"SC","Cash merger",98,-0.126344750223555,0.00302851086173023,0.023449915877663,-0.177939590494925,-0.081107795690671,9261,"log"
"SC","Cash merger",99,-0.127947345801587,0.00304728152076714,0.0236315652039561,-0.179953454776459,-0.0822496031537569,9261,"log"
"SC","Cash merger",100,-0.129186603432207,0.00305756437321844,0.0238355857206902,-0.181542616909904,-0.082974137692603,9261,"log"
"SC","Cash merger",101,-0.130459772991532,0.00306932878315875,0.024022635374843,-0.182995288860514,-0.083944242924184,9261,"log"
"SC","Cash merger",102,-0.131910337628238,0.00308481761046824,0.0241896512071253,-0.185042911871832,-0.0854441894133569,9261,"log"
"SC","Cash merger",103,-0.133288560833309,0.00310490267786918,0.0243993653359385,-0.187340824441944,-0.086244307277435,9261,"log"
"SC","Cash merger",104,-0.134244030571175,0.00312360393612183,0.024420253348852,-0.188050193512676,-0.0872427279777653,9261,"log"
"SC","Cash merger",105,-0.136401806284435,0.00314364510706557,0.0247907328545904,-0.191047559275153,-0.0891017619624799,9261,"log"
"SC","Cash merger",106,-0.138053145221281,0.00316096836727063,0.0250942873361368,-0.193276883079918,-0.089953237445754,9261,"log"
"SC","Cash merger",107,-0.139902812208967,0.00317788965103053,0.0253965630879696,-0.195712239507689,-0.0912317797991787,9261,"log"
