"design","subsample","event_date","mean_car","boot_se","lo","hi","n"
"Gsynth","Cash merger",133,-0.00073110665734822,0.0075853222623737,-0.0153274525230938,0.0145089835593617,9261
"Gsynth","Cash merger",134,-0.00075912992698529,0.00757412920652347,-0.015303095916915,0.0144417453081367,9261
"Gsynth","Cash merger",135,-0.000524350408114938,0.00756385494394653,-0.0150721928575897,0.0148647132535416,9261
"Gsynth","Cash merger",136,-4.4720852592962e-05,0.00747981148953674,-0.0146028469484991,0.0153090213498909,9261
"Gsynth","Cash merger",137,-0.000777640208292483,0.00749832895420397,-0.0152083993234206,0.0141407360851916,9261
"Gsynth","Cash merger",138,-1.86062842244677e-05,0.00745622940070593,-0.0143438904168666,0.0149391090587735,9261
"Gsynth","Cash merger",139,0.000653668497197984,0.00764990110105117,-0.0142134119628247,0.0159739627033641,9261
"Gsynth","Cash merger",140,0.0004260722518543,0.00769929700085728,-0.0146998617262767,0.0158668797485437,9261
"Gsynth","Cash merger",141,0.000193682059060476,0.00772916668844165,-0.0145817025799842,0.0156246870506362,9261
"Gsynth","Cash merger",142,0.000166749857688602,0.00771507848573848,-0.0142145647871799,0.0159651875821148,9261
"Gsynth","Cash merger",143,0.000295201829234177,0.00769635235725251,-0.0146532079802573,0.0162796728984729,9261
"Gsynth","Cash merger",144,0.000392156932440445,0.00785277142033773,-0.0146358842902151,0.0167208740839532,9261
"Gsynth","Cash merger",145,-0.000181432908150715,0.00776775740684234,-0.0149074528879161,0.0155127940681296,9261
"Gsynth","Cash merger",146,0.000400801670960659,0.00781510102370368,-0.0145884490468364,0.0162817420459536,9261
"Gsynth","Cash merger",147,0.00133917232511885,0.00794877626464038,-0.0137786799450508,0.0175021456143573,9261
"Gsynth","Cash merger",148,0.00179894068952433,0.00846329013465465,-0.0140290611897938,0.0196558650600519,9261
"Gsynth","Cash merger",149,0.00240277738445802,0.00847621904318671,-0.0132612070335961,0.019973391113114,9261
"Gsynth","Cash merger",150,0.0020080207684846,0.00842231889710291,-0.0135180536232231,0.0195045541462073,9261
"Gsynth","Cash merger",151,0.00234524562610427,0.00847614231608431,-0.0135432829805635,0.0200415175416577,9261
"Gsynth","Cash merger",152,0.00288101573019979,0.00886874736540644,-0.0130733267801584,0.0220277905830028,9261
"Gsynth","Cash merger",153,0.00296882742723869,0.00877838814403771,-0.0134020125516656,0.0216752380042521,9261
"Gsynth","Cash merger",154,0.00300060494335135,0.0085936183173016,-0.0128389826250601,0.0216635908211764,9261
"Gsynth","Cash merger",155,0.00277639593270505,0.00857191787147835,-0.0127173883513284,0.021080345748322,9261
"Gsynth","Cash merger",156,0.0026804392437276,0.00864084032018896,-0.0129098279246251,0.0213547137161384,9261
"Gsynth","Cash merger",157,0.00215631539402658,0.0085772800127781,-0.0134101769578695,0.0206567195854341,9261
"Gsynth","Cash merger",158,0.00217353051597004,0.00867631458449049,-0.0136674950733893,0.0207903575569386,9261
"Gsynth","Cash merger",159,0.00208460615486069,0.00870492685431618,-0.0135889396877004,0.0209814299868894,9261
"Gsynth","Cash merger",160,0.00155287757797783,0.00855591799746497,-0.0142151500374262,0.0198791875408651,9261
"Gsynth","Cash merger",161,0.00160445062607407,0.00858885725150562,-0.0140762912193836,0.0201760151496997,9261
"Gsynth","Cash merger",162,0.00201137934906886,0.00886109575299732,-0.013793659416928,0.0210360177796333,9261
"Gsynth","Cash merger",163,0.00181035382798367,0.00886295916834342,-0.0140119074698114,0.0205618584034889,9261
"Gsynth","Cash merger",164,0.00091463674028454,0.00884224116474406,-0.0149209196732738,0.0196859521719777,9261
"Gsynth","Cash merger",165,0.00123783749746286,0.00886712078472907,-0.0149690127394379,0.0202548899502445,9261
"Gsynth","Cash merger",166,0.0014075936874517,0.00893481431022494,-0.0147819100805433,0.0206112755247802,9261
"Gsynth","Cash merger",167,0.00176226958830773,0.00879692768099659,-0.0142253442172535,0.0208941091908636,9261
"Gsynth","Cash merger",168,0.00223319873707675,0.00888362018424418,-0.0140297420274738,0.0215139524977326,9261
"Gsynth","Cash merger",169,0.00183928118210751,0.00881219177224823,-0.0142591913137322,0.0207891028628593,9261
"Gsynth","Cash merger",170,0.00152562715872347,0.00888818760029506,-0.0149306761152937,0.0205523994209872,9261
"Gsynth","Cash merger",171,0.00175742480169998,0.00901504788706426,-0.014842204888823,0.0213692115979432,9261
"Gsynth","Cash merger",172,0.00206498582649737,0.00904169109126475,-0.014358830826222,0.0216187773063478,9261
"Gsynth","Cash merger",173,0.0023489688105581,0.00922589439394556,-0.0146037001198852,0.0223230174189149,9261
"Gsynth","Cash merger",174,0.00249239482237814,0.00934014018778051,-0.014451917779928,0.0227802904401331,9261
"Gsynth","Cash merger",175,0.00183619537558094,0.0092404239643365,-0.0147305092386266,0.0218323149937846,9261
"Gsynth","Cash merger",176,0.00168822615712489,0.00926893883482558,-0.0152570493690871,0.021626092594588,9261
"Gsynth","Cash merger",177,0.00204233002613219,0.00928289565117538,-0.0146183751383392,0.0222557118285819,9261
"Gsynth","Cash merger",178,0.00191723301105818,0.00935068242410181,-0.0150152796079457,0.0221491317947889,9261
"Gsynth","Cash merger",179,0.00230933279800875,0.00947290801767467,-0.0145410613945364,0.0226180202727915,9261
"Gsynth","Cash merger",180,0.00239146639570623,0.00958967008843969,-0.0146321179488211,0.0232677795538846,9261
