"method","subsample","event_date","mean_car","boot_se","lo","hi","n"
"APM","Cash merger",135,-0.0654693431012439,0.0366146002669249,-0.136154793148856,0.00695948435637579,5676
"APM","Cash merger",136,-0.0660519662053746,0.0367273643700443,-0.136851909689363,0.00717685481539812,5676
"APM","Cash merger",137,-0.0668140930007818,0.0367294333508405,-0.137657236642881,0.00629855437069122,5676
"APM","Cash merger",138,-0.0678258743891384,0.0370277468856953,-0.139510881967916,0.00537871601123044,5676
"APM","Cash merger",139,-0.0679007966434715,0.0372447847748978,-0.139353375698197,0.00610724023308698,5676
"APM","Cash merger",140,-0.0674925647690286,0.037702609063037,-0.140345880003714,0.00803379235895298,5676
"APM","Cash merger",141,-0.0677502405993518,0.0378531647613504,-0.140850998913341,0.0078235801657447,5676
"APM","Cash merger",142,-0.0686455290294248,0.0377449134595448,-0.141696047565267,0.00613592679078007,5676
"APM","Cash merger",143,-0.0696729702341503,0.0380129389875664,-0.143605408697114,0.00558445499428123,5676
"APM","Cash merger",144,-0.0700237355235509,0.0381633800374557,-0.144343632016492,0.00602289201569594,5676
"APM","Cash merger",145,-0.0714689727815272,0.0384714917195496,-0.146475732334437,0.00526217187362536,5676
"APM","Cash merger",146,-0.0721345277556107,0.0388482461993535,-0.147751390442396,0.00488779598351603,5676
"APM","Cash merger",147,-0.0727545321924883,0.0390171142742571,-0.149135060474252,0.00461367132245098,5676
"APM","Cash merger",148,-0.0734697656172623,0.0391148930874366,-0.150178696186487,0.00406438065224919,5676
"APM","Cash merger",149,-0.0742037428506298,0.0393148589042182,-0.151498102234466,0.00425210392807076,5676
"APM","Cash merger",150,-0.0743252396580746,0.0394686358469265,-0.151970705835968,0.00446706874217261,5676
"APM","Cash merger",151,-0.0749604015778506,0.039607844383115,-0.153263348543415,0.0041524952827334,5676
"APM","Cash merger",152,-0.0757903639571441,0.039530979445382,-0.15368501752814,0.00356359737571599,5676
"APM","Cash merger",153,-0.0758658266239582,0.0399407570496529,-0.155336228559689,0.0045712747651619,5676
"APM","Cash merger",154,-0.0770242594978363,0.040150494416836,-0.156999358384582,0.0028755762831667,5676
"APM","Cash merger",155,-0.0781905192246779,0.0404912938923681,-0.159094773918136,0.00212266331002386,5676
"APM","Cash merger",156,-0.079061934386392,0.0406119191043896,-0.160431246374908,0.00083456582198859,5676
"APM","Cash merger",157,-0.079488599587351,0.0407506256285753,-0.160853576073988,0.000342768278173831,5676
