"method","subsample","event_date","calibrated","boot_se","lo","hi","n"
"SC","Full sample",93,0.0128210129003104,0.00411386113398527,0.00456583980919841,0.0210348442578992,14847
"SC","Full sample",94,0.012505149114616,0.00410410228974891,0.00444229344769516,0.0205250316193105,14847
"SC","Full sample",95,0.0128826064516079,0.00429027847928703,0.00464237984756976,0.0217087105830097,14847
"SC","Full sample",96,0.013379893972411,0.00434142129433063,0.00518256358646436,0.0220717996328995,14847
"SC","Full sample",97,0.013162592132048,0.00430043015106909,0.0049370116874379,0.0218701014169641,14847
"SC","Full sample",98,0.0138302605293303,0.00436051416623554,0.00568379615841778,0.0226224897118495,14847
"SC","Full sample",99,0.0135687850469935,0.00445346684397802,0.00511160477477192,0.0224690675177719,14847
"SC","Full sample",100,0.0143571288363242,0.00453140638566676,0.00575571994364757,0.0233876325504197,14847
"SC","Full sample",101,0.0144003428659509,0.0045636017808055,0.00567297092785904,0.023640135446863,14847
"SC","Full sample",102,0.0147411147986722,0.00457136362103059,0.00596136325050288,0.0238473919598909,14847
"SC","Full sample",103,0.0149138071410652,0.004603195626207,0.00645887390665913,0.0239852765977412,14847
"SC","Full sample",104,0.0145488949191925,0.00462501689961885,0.0059993685525893,0.0235972160485596,14847
"SC","Full sample",105,0.0143647605243556,0.0046239982780218,0.0056494232472672,0.0235523322939869,14847
"SC","Full sample",106,0.0140343861227041,0.00469195669862414,0.00523414283597256,0.0234696677044091,14847
"SC","Full sample",107,0.0130149764405123,0.0047140232997436,0.0043344627958158,0.0226782075637823,14847
"SC","Full sample",108,0.0132813655906633,0.00476764655970061,0.00427507569572234,0.0228449955464213,14847
"SC","Full sample",109,0.0129613407094898,0.00482140017119214,0.00391432196769365,0.023015632517182,14847
"SC","Full sample",110,0.0126236021481095,0.00477875116550539,0.00356196750752343,0.022519097684994,14847
"SC","Full sample",111,0.0123184380191746,0.00482585951029904,0.00334408579774569,0.0224503100897696,14847
"SC","Full sample",112,0.0111383524597695,0.00494898531176764,0.00216616802230154,0.0213159767714975,14847
"SC","Full sample",113,0.0116983807261697,0.00513595244144905,0.00252046650281219,0.0223550358142884,14847
"SC","Full sample",114,0.0115971432673837,0.00520581404318203,0.00239632999293984,0.0223875751787753,14847
"SC","Full sample",115,0.0112737509988227,0.00527916924893846,0.0018261015821191,0.0225070715658995,14847
"SC","Full sample",116,0.0109139043118146,0.0051793822004768,0.00120323482694165,0.0217220221607508,14847
"SC","Full sample",117,0.0103261606107855,0.00508449220604807,0.000756193901342731,0.0211631726036664,14847
"SC","Full sample",118,0.0106158990086219,0.00518415509336014,0.00074971847464061,0.0212909746554247,14847
"SC","Full sample",119,0.0107537297531586,0.00520410411204244,0.00136581513831639,0.021865139203917,14847
"SC","Full sample",120,0.0107195738403577,0.00519628271938511,0.00117075023094448,0.0215846561155343,14847
"SC","Full sample",121,0.0100487621193174,0.00521309080082215,0.000357239572412082,0.0207701884462234,14847
"SC","Full sample",122,0.0110301480898404,0.00526630416293998,0.00115753800776927,0.022143019884202,14847
"SC","Full sample",123,0.0109654530416231,0.005227327620045,0.00114490481384324,0.0218780144498064,14847
"SC","Full sample",124,0.0108709090755491,0.00535038342337173,0.000729258505163636,0.0223487056851084,14847
"SC","Full sample",125,0.0103318312288861,0.00544107298550801,0.000141525020483472,0.0220271131471667,14847
"SC","Full sample",126,0.0105479191255893,0.00541483538206324,-6.96003073561807e-05,0.0219914529044397,14847
"SC","Full sample",127,0.0108140155641632,0.0052972136713091,0.000471779227029684,0.0219230518329845,14847
"SC","Full sample",128,0.00962897860192763,0.0054546329280601,-0.000980383838903103,0.021188798442826,14847
"SC","Full sample",129,0.0082770501504893,0.0054000418269305,-0.0024152416036102,0.0195445198458804,14847
"SC","Full sample",130,0.00824424213599176,0.00543077185703898,-0.00264928111154547,0.0191859936608647,14847
"SC","Full sample",131,0.0078791911780414,0.00530600470544944,-0.00277241314294678,0.0188981655222206,14847
"SC","Full sample",132,0.00726024512181767,0.00544217728837975,-0.00396974417731795,0.0184743017437574,14847
"SC","Full sample",133,0.00729234210051902,0.0055278716260964,-0.00383423054267998,0.0188517050663926,14847
"SC","Full sample",134,0.00677023153388054,0.00547211491094102,-0.0043075175840189,0.018154992944799,14847
"SC","Full sample",135,0.00667915977705152,0.00548274817327636,-0.00410151250231547,0.018242281380673,14847
"SC","Full sample",136,0.00649003278241655,0.00548026287261906,-0.00468878341979111,0.0178160985882175,14847
"SC","Full sample",137,0.00681955363422071,0.00547901811272946,-0.00414426976657532,0.0181446665708177,14847
"SC","Full sample",138,0.00706123262551822,0.00554527851351247,-0.00405662561404818,0.0183864697239191,14847
"SC","Full sample",139,0.00674888786660474,0.00564771452403763,-0.0047207090488457,0.0183629102222927,14847
"SC","Full sample",140,0.00631518777577136,0.00564892144619424,-0.00496009062786399,0.0179612853026265,14847
"SC","Full sample",141,0.00600401295056532,0.00568899229008389,-0.00586004215227211,0.0175828723087813,14847
"SC","Full sample",142,0.0064190964009439,0.00572262866714838,-0.0054966636989528,0.0179976884278441,14847
"SC","Full sample",143,0.00582192237236162,0.005824421012319,-0.00627630823355311,0.0176682659988416,14847
"SC","Full sample",144,0.00577274926247809,0.0058833056176551,-0.00637023479730541,0.0176721161195696,14847
"SC","Full sample",145,0.0058204038937329,0.00590817347435677,-0.00658959619991088,0.0177137118782375,14847
"SC","Full sample",146,0.0056967220712564,0.00590791619372896,-0.00666652165853647,0.0175367817900092,14847
"SC","Full sample",147,0.00501378612311593,0.00590187011324002,-0.0073484055518747,0.016715372918681,14847
"SC","Full sample",148,0.00467588641074598,0.00627011524499091,-0.00863511545394875,0.0168336667132399,14847
"SC","Full sample",149,0.00354098726093882,0.0064197526151591,-0.0102487162832875,0.0158708698315957,14847
"SC","Full sample",150,0.00415371603687573,0.00634630181818802,-0.00923110857625615,0.0166799367436483,14847
"SC","Full sample",151,0.0038440424507,0.00639637196828464,-0.00975674596746493,0.0165402776839438,14847
"SC","Full sample",152,0.00345678651905562,0.00648391810564097,-0.0101612770431946,0.0164824967098164,14847
"SC","Full sample",153,0.00241869549996634,0.00657385040071696,-0.0118297064093807,0.0153683164031768,14847
"SC","Full sample",154,0.00254692028092296,0.00652203980045361,-0.0117543460462967,0.0158586524054819,14847
"SC","Full sample",155,0.00269465211141165,0.00656237062046618,-0.0116008793031292,0.0158517872018244,14847
"SC","Full sample",156,0.00173490689264072,0.00682064625882283,-0.0130617535142936,0.0153298434355304,14847
"SC","Full sample",157,0.0021566197324239,0.00675978549939696,-0.0126453673728487,0.0155692148387609,14847
"SC","Full sample",158,0.00293029267140693,0.00665757526241489,-0.0114822558715076,0.0161301434712661,14847
"SC","Full sample",159,0.0030913267542077,0.00674052949214747,-0.0113830182648227,0.0160236346304392,14847
"SC","Full sample",160,0.00412922866585094,0.00666212239840548,-0.00990049902933131,0.0171161613468202,14847
"SC","Full sample",161,0.00352684771413261,0.00676082874952587,-0.0108430755343539,0.0166192266068041,14847
"SC","Full sample",162,0.00277089018672669,0.00688712017846629,-0.0122473033856371,0.0161071306427798,14847
"SC","Full sample",163,0.00241781769666999,0.00692149708627103,-0.012546902582311,0.0157570330198092,14847
"SC","Full sample",164,0.00302674581867107,0.00684342472905368,-0.0114050322356091,0.0163352960545406,14847
"SC","Full sample",165,0.00252968180051469,0.00692367354939557,-0.0123400352873064,0.0159413028114661,14847
"SC","Full sample",166,0.00301508246794116,0.00689467840958045,-0.0115009232078057,0.0162462831832146,14847
"SC","Full sample",167,0.00322140431886192,0.00698882797732628,-0.011649264838883,0.0163612704566362,14847
"SC","Full sample",168,0.00243910285703114,0.00706038293869475,-0.0129253497461403,0.015909743747495,14847
"SC","Full sample",169,0.00295807690401226,0.00689016725064314,-0.0116725538043858,0.0159938971467191,14847
"SC","Full sample",170,0.00272102491067924,0.00699024302433962,-0.0121547756399756,0.0160423586126891,14847
"SC","Full sample",171,0.00250721498897594,0.007274734836321,-0.0133086724695533,0.0164199001369546,14847
"SC","Full sample",172,0.0016811254740299,0.00723303452629237,-0.0138495134397424,0.0154770331222673,14847
"SC","Full sample",173,0.00144538043646408,0.00716415451849942,-0.0138883706106183,0.0151098383461579,14847
"SC","Full sample",174,0.0015745465567536,0.007248213700936,-0.0141389868886102,0.0150213622041074,14847
"SC","Full sample",175,0.00147903114956222,0.00717163769588667,-0.0137341337529596,0.0152880975985293,14847
"SC","Full sample",176,0.00159594009818137,0.00722700209759685,-0.0137350197139556,0.0155588009354946,14847
"SC","Full sample",177,0.00136526864014153,0.00728254964320883,-0.0140198989127887,0.0154003921977244,14847
"SC","Full sample",178,0.00109893429999078,0.00724838451941231,-0.0149306764616766,0.0149298004284226,14847
"SC","Full sample",179,-0.000335812854145134,0.00740827032651314,-0.0167937719679564,0.0140755902192194,14847
"SC","Full sample",180,-0.00128967331272822,0.00747592379815851,-0.0173171231994901,0.0133863294037923,14847
"SC","Full sample",181,-0.00119242449908027,0.00743268878821225,-0.0172161797068638,0.0128649713582015,14847
"SC","Full sample",182,-0.00135344443734534,0.00735866450502732,-0.0172418749224674,0.0123857345090947,14847
"SC","Full sample",183,-0.00142908837499786,0.00739017560620144,-0.0175691697302783,0.0121788312637576,14847
"SC","Full sample",184,-0.000709763826367865,0.00742316627454018,-0.0175259380900448,0.0129358869814689,14847
"SC","Full sample",185,-0.00136758766322842,0.00739954522618703,-0.0172653502042579,0.0124234501882114,14847
"SC","Full sample",186,-0.00158082632532575,0.00751869157388925,-0.0179588118893962,0.0123644028260773,14847
"SC","Full sample",187,-0.00178291956778517,0.00741566405179029,-0.0179218546888231,0.0114694170475327,14847
"SC","Full sample",188,-0.00128923470564582,0.00751671808579007,-0.0178933451768506,0.0123913755735568,14847
"SC","Full sample",189,-0.00141305317411816,0.00749595536798913,-0.017541470896777,0.0125715084621341,14847
"SC","Full sample",190,-0.00157283373722306,0.00752202653239888,-0.0178545236961413,0.0121834002547775,14847
"SC","Full sample",191,-0.00208944606815747,0.0076806973327132,-0.0187286045625107,0.0117790354912801,14847
"SC","Full sample",192,-0.00194649332299229,0.00771017660751841,-0.018891848815069,0.0117798442117958,14847
"SC","Full sample",193,-0.00276023281679735,0.00772445786930532,-0.0198357437849897,0.0112425413077592,14847
"SC","Full sample",194,-0.00318757187134472,0.00759871510404682,-0.019633797200597,0.0106179405864517,14847
"SC","Full sample",195,-0.00376888829190258,0.00772931751239892,-0.0205883783987451,0.0105473039440363,14847
"SC","Full sample",196,-0.00387305935067581,0.00760231408316587,-0.0201218073048437,0.0100734870927567,14847
"SC","Full sample",197,-0.00518930919618407,0.0078236506475465,-0.0226379144585681,0.00915784633640693,14847
"SC","Full sample",198,-0.00586765232208056,0.00796573704081402,-0.0231077347291275,0.00870587163426774,14847
"SC","Full sample",199,-0.00605644272210207,0.00796963763267449,-0.0235188137588548,0.00856109888817392,14847
"SC","Full sample",200,-0.00551236076539491,0.00788215231137321,-0.0228832014891635,0.00888624861703951,14847
"SC","Full sample",201,-0.00555113091056203,0.00806748053348268,-0.0235115914411347,0.00962217620703213,14847
"SC","Full sample",202,-0.00553422042300986,0.00813515341062024,-0.0237503127210288,0.00967875211344488,14847
"SC","Full sample",203,-0.00627888459641632,0.00825655740763868,-0.0248797375703115,0.00898787616029247,14847
"SC","Full sample",204,-0.00749924748305575,0.00823394406955395,-0.0256942013783113,0.00774618284457835,14847
"SC","Full sample",205,-0.00716667216022748,0.00820556641812355,-0.0253289582281381,0.0082243200846206,14847
"SC","Full sample",206,-0.0073183267644476,0.0082139476250436,-0.0254211903154979,0.00829609961606017,14847
"SC","Full sample",207,-0.0073227998572476,0.00823560806053476,-0.0252623368731323,0.00849967993781678,14847
"SC","Full sample",208,-0.00836001279231929,0.00829093976631223,-0.0261436101073653,0.00741767179438277,14847
"SC","Full sample",209,-0.00868293031592271,0.00832919317929314,-0.0269528925667286,0.0069848285586469,14847
"SC","Full sample",210,-0.00973924584367036,0.00847858377248384,-0.0280209975989075,0.00638397028293493,14847
"SC","Full sample",211,-0.0100835791531067,0.00850414665038807,-0.0285101049384613,0.0056561230412508,14847
"SC","Full sample",212,-0.0110394007390627,0.00857278244451082,-0.0294910027139916,0.00513113932308242,14847
"SC","Full sample",213,-0.011134588880683,0.00853286707260128,-0.0296678265772697,0.00461516740290028,14847
"SC","Full sample",214,-0.0115188071081099,0.00857263301136443,-0.0296064562443173,0.00463365062100395,14847
